Date,States,Action_Buckets,Bucket_Value
2021-01-13,Nagaland,4,300
2021-01-14,Assam,45,300
2021-01-14,Delhi,24,300
2021-01-14,Jharkhand,53,300
2021-01-14,Maharashtra,175,300
2021-01-14,Nagaland,4,300
2021-01-15,Assam,45,300
2021-01-15,Delhi,24,300
2021-01-15,Jharkhand,53,300
2021-01-15,Maharashtra,175,300
2021-01-15,Nagaland,4,300
2021-01-16,Assam,45,300
2021-01-16,Delhi,24,300
2021-01-16,Jharkhand,53,300
2021-01-16,Maharashtra,175,300
2021-01-16,Nagaland,4,300
2021-01-17,Assam,45,300
2021-01-17,Delhi,24,300
2021-01-17,Jharkhand,53,300
2021-01-17,Maharashtra,175,300
2021-01-17,Nagaland,4,300
2021-01-18,Assam,45,300
2021-01-18,Delhi,24,300
2021-01-18,Jharkhand,53,300
2021-01-18,Maharashtra,175,300
2021-01-18,Nagaland,4,300
2021-01-19,Assam,45,300
2021-01-19,Delhi,24,300
2021-01-19,Jharkhand,53,300
2021-01-19,Maharashtra,175,300
2021-01-19,Nagaland,4,300
2021-01-20,Assam,45,300
2021-01-20,Delhi,24,300
2021-01-20,Jharkhand,53,300
2021-01-20,Maharashtra,175,300
2021-01-20,Nagaland,4,300
2021-01-21,Assam,45,300
2021-01-21,Delhi,24,300
2021-01-21,Jharkhand,53,300
2021-01-21,Maharashtra,175,300
2021-01-21,Nagaland,4,300
2021-01-22,Assam,45,300
2021-01-22,Delhi,24,300
2021-01-22,Jharkhand,53,300
2021-01-22,Maharashtra,175,300
2021-01-22,Nagaland,4,300
2021-01-23,Assam,45,300
2021-01-23,Delhi,24,300
2021-01-23,Jharkhand,53,300
2021-01-23,Maharashtra,175,300
2021-01-23,Nagaland,4,300
2021-01-24,Assam,45,300
2021-01-24,Delhi,24,300
2021-01-24,Jharkhand,53,300
2021-01-24,Maharashtra,175,300
2021-01-24,Nagaland,4,300
2021-01-25,Assam,45,300
2021-01-25,Delhi,24,300
2021-01-25,Jharkhand,53,300
2021-01-25,Maharashtra,175,300
2021-01-25,Nagaland,4,300
2021-01-26,Assam,45,300
2021-01-26,Delhi,24,300
2021-01-26,Jharkhand,53,300
2021-01-26,Maharashtra,175,300
2021-01-26,Nagaland,4,300
2021-01-27,Assam,45,300
2021-01-27,Delhi,24,300
2021-01-27,Jharkhand,53,300
2021-01-27,Maharashtra,175,300
2021-01-27,Nagaland,4,300
2021-01-28,Assam,45,300
2021-01-28,Delhi,24,300
2021-01-28,Jharkhand,53,300
2021-01-28,Maharashtra,175,300
2021-01-28,Nagaland,4,300
2021-01-29,Assam,45,300
2021-01-29,Delhi,24,300
2021-01-29,Jharkhand,53,300
2021-01-29,Maharashtra,175,300
2021-01-29,Nagaland,4,300
2021-01-30,Assam,45,300
2021-01-30,Delhi,24,300
2021-01-30,Jharkhand,53,300
2021-01-30,Maharashtra,175,300
2021-01-30,Nagaland,4,300
2021-01-31,Assam,45,300
2021-01-31,Delhi,24,300
2021-01-31,Jharkhand,53,300
2021-01-31,Maharashtra,175,300
2021-01-31,Nagaland,4,300
2020-12-27,Assam,60,400
2020-12-27,Delhi,33,400
2020-12-27,Jharkhand,72,400
2020-12-27,Maharashtra,233,400
2020-12-27,Nagaland,5,400
2020-12-28,Assam,60,400
2020-12-28,Delhi,33,400
2020-12-28,Jharkhand,72,400
2020-12-28,Maharashtra,233,400
2020-12-28,Nagaland,5,400
2020-12-29,Assam,60,400
2020-12-29,Delhi,33,400
2020-12-29,Jharkhand,72,400
2020-12-29,Maharashtra,233,400
2020-12-29,Nagaland,5,400
2020-12-30,Assam,60,400
2020-12-30,Delhi,33,400
2020-12-30,Jharkhand,72,400
2020-12-30,Maharashtra,233,400
2020-12-30,Nagaland,5,400
2020-12-31,Assam,60,400
2020-12-31,Delhi,33,400
2020-12-31,Jharkhand,72,400
2020-12-31,Maharashtra,233,400
2020-12-31,Nagaland,5,400
2021-01-01,Assam,60,400
2021-01-01,Delhi,33,400
2021-01-01,Jharkhand,72,400
2021-01-01,Maharashtra,233,400
2021-01-01,Nagaland,5,400
2021-01-02,Assam,60,400
2021-01-02,Delhi,33,400
2021-01-02,Jharkhand,72,400
2021-01-02,Maharashtra,233,400
2021-01-02,Nagaland,5,400
2021-01-03,Assam,60,400
2021-01-03,Delhi,33,400
2021-01-03,Jharkhand,72,400
2021-01-03,Maharashtra,233,400
2021-01-03,Nagaland,5,400
2021-01-04,Assam,60,400
2021-01-04,Delhi,33,400
2021-01-04,Jharkhand,72,400
2021-01-04,Maharashtra,233,400
2021-01-04,Nagaland,5,400
2021-01-05,Assam,60,400
2021-01-05,Delhi,33,400
2021-01-05,Jharkhand,72,400
2021-01-05,Maharashtra,233,400
2021-01-05,Nagaland,5,400
2021-01-06,Assam,60,400
2021-01-06,Delhi,33,400
2021-01-06,Jharkhand,72,400
2021-01-06,Maharashtra,233,400
2021-01-06,Nagaland,5,400
2021-01-07,Assam,60,400
2021-01-07,Delhi,33,400
2021-01-07,Jharkhand,72,400
2021-01-07,Maharashtra,233,400
2021-01-07,Nagaland,5,400
2021-01-08,Assam,60,400
2021-01-08,Delhi,33,400
2021-01-08,Jharkhand,72,400
2021-01-08,Maharashtra,233,400
2021-01-08,Nagaland,5,400
2021-01-09,Assam,60,400
2021-01-09,Delhi,33,400
2021-01-09,Jharkhand,72,400
2021-01-09,Maharashtra,233,400
2021-01-09,Nagaland,5,400
2021-01-10,Assam,60,400
2021-01-10,Delhi,33,400
2021-01-10,Jharkhand,72,400
2021-01-10,Maharashtra,233,400
2021-01-10,Nagaland,5,400
2021-01-11,Assam,60,400
2021-01-11,Delhi,33,400
2021-01-11,Jharkhand,72,400
2021-01-11,Maharashtra,233,400
2021-01-11,Nagaland,5,400
2021-01-12,Assam,60,400
2021-01-12,Delhi,33,400
2021-01-12,Jharkhand,72,400
2021-01-12,Maharashtra,233,400
2021-01-12,Nagaland,5,400
2021-01-13,Assam,60,400
2021-01-13,Delhi,33,400
2021-01-13,Jharkhand,72,400
2021-01-13,Maharashtra,233,400
2021-01-13,Nagaland,5,400
2021-01-14,Assam,60,400
2021-01-14,Delhi,33,400
2021-01-14,Jharkhand,72,400
2021-01-14,Maharashtra,233,400
2021-01-14,Nagaland,5,400
2021-01-15,Assam,60,400
2021-01-15,Delhi,33,400
2021-01-15,Jharkhand,72,400
2021-01-15,Maharashtra,233,400
2021-01-15,Nagaland,5,400
2021-01-16,Assam,60,400
2021-01-16,Delhi,33,400
2021-01-16,Jharkhand,72,400
2021-01-16,Maharashtra,233,400
2021-01-16,Nagaland,5,400
2021-01-17,Assam,60,400
2021-01-17,Delhi,33,400
2021-01-17,Jharkhand,72,400
2021-01-17,Maharashtra,233,400
2021-01-17,Nagaland,5,400
2021-01-18,Assam,60,400
2021-01-18,Delhi,33,400
2021-01-18,Jharkhand,72,400
2021-01-18,Maharashtra,233,400
2021-01-18,Nagaland,5,400
2021-01-19,Assam,60,400
2021-01-19,Delhi,33,400
2021-01-19,Jharkhand,72,400
2021-01-19,Maharashtra,233,400
2021-01-19,Nagaland,5,400
2021-01-20,Assam,60,400
2021-01-20,Delhi,33,400
2021-01-20,Jharkhand,72,400
2021-01-20,Maharashtra,233,400
2021-01-20,Nagaland,5,400
2021-01-21,Assam,60,400
2021-01-21,Delhi,33,400
2021-01-21,Jharkhand,72,400
2021-01-21,Maharashtra,233,400
2021-01-21,Nagaland,5,400
2021-01-22,Assam,60,400
2021-01-22,Delhi,33,400
2021-01-22,Jharkhand,72,400
2021-01-22,Maharashtra,233,400
2021-01-22,Nagaland,5,400
2021-01-23,Assam,60,400
2021-01-23,Delhi,33,400
