"Date","State...UT","Confirmed.cases","Deceased.cases","Recovered.Cases","Susceptible","Death.Rate","Recovery.Rate","Overall.Hospital.Beds","Overall.ICU.Beds","Ventilators","Age.Distribution","Population","Action","Reward","Percentage.Distribution"
"2020-12-10","Nagaland",14659.04906568,150.803030529886,10733.2835764739,1963842.95093432,0.0586901377889912,4.17722302939216,2561,128,64,211983,1978502,15,75.623,1.02187324075776
"2020-12-11","Assam",259405.719004098,2692.95362566233,214744.896994263,30946170.2809959,0.118069755110221,9.41526699816314,24178,1209,604,4127732,31205576,153,56.274,16.1082442996576
"2020-12-11","Delhi",610924.121180899,6631.75057845477,527819.685127895,16177016.8788191,0.115968509322417,9.22991016492235,39455,1973,986,2343806,16787941,84,99.913,8.4205359680234
"2020-12-11","Jharkhand",128667.946730401,1354.34292003179,108585.261044611,32859466.0532696,0.124421062180094,9.97553375621896,26496,1325,662,4528093,32988134,181,33.4948,17.1041619023024
"2020-12-11","Maharashtra",2206591.87801901,23025.6426682863,1771818.23162864,110167741.121981,0.0887859452685474,6.83205931775641,231739,11587,5793,19912066,112374333,585,23.41,57.3450243380873
"2020-12-11","Nagaland",15033.98413461,154.088037578055,10865.6520481894,1963468.01586539,0.056506887152367,3.98463231652816,2561,128,64,211983,1978502,15,75.67,1.02203349192926
"2020-12-12","Assam",267785.101694301,2748.29199353367,215974.35003129,30937790.8983057,0.103864894462594,8.16221606925571,24178,1209,604,4127732,31205576,153,56.274,16.1100334830986
"2020-12-12","Delhi",617619.473933401,6694.03516188023,530742.753905127,16170321.5260666,0.112020903043886,8.88168065130867,39455,1973,986,2343806,16787941,84,99.913,8.42026575438745
"2020-12-12","Jharkhand",131925.235596199,1377.35887500948,109165.025583505,32856208.7644038,0.111656357465748,8.84952305493039,26496,1325,662,4528093,32988134,181,33.4948,17.1089986696888
"2020-12-12","Maharashtra",2261211.64347599,23456.9168695642,1785387.82092785,110113121.356524,0.082649153861621,6.29071559297689,231739,11587,5793,19912066,112374333,585,23.41,57.3384854081243
"2020-12-12","Nagaland",15431.83771822,157.578611990986,11006.1394018764,1963070.16228178,0.0544441706387567,3.80267425952438,2561,128,64,211983,1978502,15,75.67,1.02221668470076
"2020-12-13","Assam",277503.298625801,2812.48555307732,217400.655813521,30928072.7013742,0.0916219095741984,7.08222774923184,24178,1209,604,4127732,31205576,153,56.274,16.1117325087987
"2020-12-13","Delhi",624613.286127299,6759.19301541708,533797.417342709,16163327.7138727,0.108233478535944,8.54758122467072,39455,1973,986,2343806,16787941,84,99.913,8.42015650611163
"2020-12-13","Jharkhand",135616.227915298,1403.44435462877,109822.054430177,32852517.7720847,0.10039129859652,7.85580035462073,26496,1325,662,4528093,32988134,181,33.4948,17.1142568014225
"2020-12-13","Maharashtra",2320955.137352,23928.9002207682,1800238.04556034,110053377.862648,0.0770414068342006,5.79604036904492,231739,11587,5793,19912066,112374333,585,23.41,57.3314284059461
"2020-12-13","Nagaland",15854.04964167,161.286471960777,11155.2591510627,1962647.95035833,0.0524973789716118,3.63094226106139,2561,128,64,211983,1978502,15,75.67,1.02242577772104
"2020-12-14","Assam",288773.4475592,2886.94584014125,219055.297528681,30916802.5524408,0.0810703935193257,6.15144867846716,24178,1209,604,4127732,31205576,153,56.274,16.1132944529082
"2020-12-14","Delhi",631919.3076989,6827.33462649906,536989.855289968,16156021.6923011,0.104603599126495,8.22737929670659,39455,1973,986,2343806,16787941,84,99.913,8.42023473397861
"2020-12-14","Jharkhand",139798.6489795,1433.00711343261,110566.651103176,32848335.3510205,0.0904507246699835,6.9789142167338,26496,1325,662,4528093,32988134,181,33.4948,17.1199754211673
