Date,Name of State,Susceptible,Infected People,Recovery,Death,Vaccine Distribution,Amount of Vaccine
2021-01-20,Assam,18136173.45,6031104.819,2640609.247,98304.45597,11.52496372,115249.6372
2021-01-20,Delhi,15480798.4,324825.2382,838446.389,13187.10276,9.837556988,98375.56988
2021-01-20,Jharkhand,29546515.99,1506965.572,730114.4713,25360.0309,18.77587495,187758.7495
2021-01-20,Maharashtra,92299781.04,8347829.325,6614038.434,169611.0203,58.65358701,586535.8701
2021-01-20,Nagaland,1900987.497,29098.68525,33284.74147,707.192232,1.208017336,12080.17336
2021-01-21,Assam,16912871.36,6654976.71,2957647.273,108970.8175,10.96471639,109647.1639
2021-01-21,Delhi,15444480.37,338659.4211,855031.2945,13531.94023,10.01274967,100127.4967
2021-01-21,Jharkhand,29145790.7,1690693.71,809975.8275,28348.13932,18.8953917,188953.917
2021-01-21,Maharashtra,90848114.98,9010055.515,7047816.42,182035.5645,58.89738027,588973.8027
2021-01-21,Nagaland,1896884.989,30826.34654,34782.47017,743.7559616,1.229761966,12297.61966
2021-01-22,Assam,15661918.47,7302786.705,3306506.644,120269.2805,10.37405953,103740.5953
2021-01-22,Delhi,15406708.98,353032.4298,872321.3113,13890.87924,10.2050152,102050.152
2021-01-22,Jharkhand,28702951.72,1894437.089,899517.41,31672.88208,19.01211083,190121.1083
2021-01-22,Maharashtra,89307807.58,9713267.249,7515727.21,195311.6667,59.15523783,591552.3783
2021-01-22,Nagaland,1892548.879,32651.7844,36369.00612,782.4348464,1.253576614,12535.76614
2021-01-23,Assam,14398988.82,7966770.162,3688196.268,132123.2603,9.758915574,97589.15574
2021-01-23,Delhi,15367435.78,367960.7815,890343.793,14264.41713,10.41528056,104152.8056
2021-01-23,Jharkhand,28215074.63,2119764.698,999779.2507,35363.83562,19.1227686,191227.686
2021-01-23,Maharashtra,87677550.59,10458066.02,8019836.421,209469.562,59.4234654,594234.654
2021-01-23,Nagaland,1887967.165,34579.94136,38049.36098,823.3417293,1.279569864,12795.69864
2021-01-24,Assam,13140819.04,8637801.693,4103301.86,144435.9493,9.126413999,91264.13999
2021-01-24,Delhi,15326611.58,383461.0954,909126.922,14653.06177,10.64446607,106444.6607
2021-01-24,Jharkhand,27679405.61,2368211.902,1111879.183,39451.07717,19.2235898,192235.898
2021-01-24,Maharashtra,85956700.17,11244713.95,8562231.293,224535.8832,59.69768166,596976.8166
2021-01-24,Nagaland,1883127.381,36615.93661,39828.79795,866.5943073,1.307848471,13078.48471
2021-01-25,Assam,11904374.86,9305672.069,4551924.626,157092.7609,8.484615134,84846.15134
2021-01-25,Delhi,15284186.46,399550.0506,928699.7132,15057.33116,10.89351111,108935.1111
2021-01-25,Jharkhand,27093471.44,2641232.641,1237009.989,43964.61058,19.31035275,193103.5275
2021-01-25,Maharashtra,84145370.16,12073078.59,9145002.585,240532.8302,59.97300064,599730.0064
2021-01-25,Nagaland,1878016.608,38765.0628,41712.84054,912.3151947,1.338520361,13385.20361
2021-01-26,Assam,10705959.25,9959465.178,5033635.491,169965.0834,7.842135559,78421.35559
2021-01-26,Delhi,15240109.92,416244.3402,949092.0159,15477.75292,11.16340957,111634.0957
2021-01-26,Jharkhand,26455206.22,2940141.563,1376433.924,48933.64815,19.378489,193784.89
2021-01-26,Maharashtra,82244519.14,12942578.07,9770223.81,257477.3125,60.24426707,602442.6707
2021-01-26,Nagaland,1872621.476,41032.78118,43707.28114,960.6319654,1.371698801,13716.98801
2021-01-27,Assam,9560341.647,10588028.86,5547451.738,182915.3533,7.207696797,72076.96797
2021-01-27,Delhi,15194330.9,433560.6199,970334.5136,15914.86369,11.45525278,114552.5278
2021-01-27,Jharkhand,25763092.81,3266045.997,1531474.096,54385.74187,19.42321398,194232.1398
2021-01-27,Maharashtra,80256036.45,13852123.9,10439926.75,275380.0236,60.50632898,605063.2898
2021-01-27,Nagaland,1866928.171,43424.71504,45818.18928,1011.677172,1.407507461,14075.07461
2021-01-28,Assam,8480022.229,11180480.47,6091837.543,195802.7921,6.589656182,65896.56182
2021-01-28,Delhi,15146797.93,451515.4523,992458.7204,16369.20849,11.77027465,117702.7465
2021-01-28,Jharkhand,25016314.76,3619768.363,1703502.202,60345.76473,19.43967938,194396.7938
2021-01-28,Maharashtra,78182811.78,14800069.77,11156074.99,294244.5599,60.75430407,607543.0407
2021-01-28,Nagaland,1860922.452,45946.64109,48051.91953,1065.588336,1.44608573,14460.8573
2021-01-29,Assam,7474697.222,11726714.03,6664730.34,208489.4543,5.995564584,59955.64584
2021-01-29,Delhi,15097459.2,470125.2455,1015496.975,16841.33991,12.10989409,121098.9409
2021-01-29,Jharkhand,24214912.27,4001760.517,1893922.166,66834.75428,19.4231373,194231.373
2021-01-29,Maharashtra,76028789.56,15784164.97,11920534.87,314066.5646,60.98381038,609838.1038
2021-01-29,Nagaland,1854589.666,48604.47862,50415.11891,1122.507914,1.48759365,14875.9365
2021-01-30,Assam,6550977.135,12217859.1,7263591.371,220846.003,5.431803414,54318.03414
2021-01-30,Delhi,15046262.69,489406.187,1039482.431,17331.8173,12.47574818,124757.4818
2021-01-30,Jharkhand,23359933.14,4412012.76,2104149.354,73868.64544,19.36910509,193691.0509
2021-01-30,Maharashtra,73799003.32,16801515.96,12735044.28,334832.9365,61.19112766,611911.2766
2021-01-30,Nagaland,1847914.773,51404.27619,52914.7337,1182.583217,1.532215662,15322.15662
2021-01-31,Assam,5712365.119,12646650.56,7885477.19,232756.7114,4.903336359,49033.36359
2021-01-31,Delhi,14993156.33,509374.1712,1064449.044,17841.20577,12.86971106,128697.1106
2021-01-31,Jharkhand,22453567.37,4849961.511,2335585.182,81456.9361,19.27352173,192735.2173
2021-01-31,Maharashtra,71499585.46,17848558.33,13601179.75,356521.1409,61.3732683,613732.683
2021-01-31,Nagaland,1840882.368,54352.19564,55558.01546,1245.966302,1.580162553,15801.62553
