Date,State,Susceptible,Infected People,Recovery,Death,Bucket_Value,Vaccine %,Amount of Vaccine
2021-01-02,Nagaland,1945965.478,10123.35604,17073.11157,308.3051324,400,0.8065,8065
2021-01-02,Assam,29666381.18,584465.2705,406487.4484,11233.65775,500,16.129,161290
2021-01-02,Delhi,15935568.07,150464.5374,634004.4262,8892.912532,500,8.2661,82661
2021-01-02,Jharkhand,32503398.86,169751.5357,172304.3475,3877.620648,500,17.1371,171371
2021-01-02,Maharashtra,106619599.2,1854347.339,2667594.439,51261.72555,500,57.6613,576613
2021-01-02,Nagaland,1945965.478,10123.35604,17073.11157,308.3051324,500,0.8065,8065
2021-01-03,Assam,29461680.44,675013.4943,437921.882,12616.47996,200,16.129,161290
2021-01-03,Delhi,15918224.46,157151.1015,641693.6483,9055.879604,200,8.2661,82661
2021-01-03,Jharkhand,32453213.93,192179.6048,181341.1422,4234.313256,200,17.1371,171371
2021-01-03,Maharashtra,106242686.3,2024155.901,2764497.259,54285.22438,200,57.6613,576613
2021-01-03,Nagaland,1944502.256,10741.59204,17594.5849,321.2251278,200,0.8065,8065
2021-01-03,Assam,29461680.44,675013.4943,437921.882,12616.47996,300,16.129,161290
2021-01-03,Delhi,15918224.46,157151.1015,641693.6483,9055.879604,300,8.2661,82661
2021-01-03,Jharkhand,32453213.93,192179.6048,181341.1422,4234.313256,300,17.1371,171371
2021-01-03,Maharashtra,106242686.3,2024155.901,2764497.259,54285.22438,300,57.6613,576613
2021-01-03,Nagaland,1944502.256,10741.59204,17594.5849,321.2251278,300,0.8065,8065
2021-01-03,Assam,29461680.44,675013.4943,437921.882,12616.47996,400,16.129,161290
2021-01-03,Delhi,15918224.46,157151.1015,641693.6483,9055.879604,400,8.2661,82661
2021-01-03,Jharkhand,32453213.93,192179.6048,181341.1422,4234.313256,400,17.1371,171371
2021-01-03,Maharashtra,106242686.3,2024155.901,2764497.259,54285.22438,400,57.6613,576613
2021-01-03,Nagaland,1944502.256,10741.59204,17594.5849,321.2251278,400,0.8065,8065
2021-01-03,Assam,29461680.44,675013.4943,437921.882,12616.47996,500,16.129,161290
2021-01-03,Delhi,15918224.46,157151.1015,641693.6483,9055.879604,500,8.2661,82661
2021-01-03,Jharkhand,32453213.93,192179.6048,181341.1422,4234.313256,500,17.1371,171371
2021-01-03,Maharashtra,106242686.3,2024155.901,2764497.259,54285.22438,500,57.6613,576613
2021-01-03,Nagaland,1944502.256,10741.59204,17594.5849,321.2251278,500,0.8065,8065
2021-01-04,Assam,29227109.02,779020.1763,474213.0711,14206.92745,200,16.129,161290
2021-01-04,Delhi,15900130.91,164123.7894,649724.2897,9225.960641,200,8.2661,82661
2021-01-04,Jharkhand,32396496.2,217538.1974,191571.1346,4637.753277,200,17.1371,171371
2021-01-04,Maharashtra,105832837.9,2208879.352,2870258.576,57578.22353,200,57.6613,576613
2021-01-04,Nagaland,1942950.918,11396.99359,18147.89041,334.9272966,200,0.8065,8065
2021-01-04,Assam,29227109.02,779020.1763,474213.0711,14206.92745,300,16.129,161290
2021-01-04,Delhi,15900130.91,164123.7894,649724.2897,9225.960641,300,8.2661,82661
2021-01-04,Jharkhand,32396496.2,217538.1974,191571.1346,4637.753277,300,17.1371,171371
2021-01-04,Maharashtra,105832837.9,2208879.352,2870258.576,57578.22353,300,57.6613,576613
2021-01-04,Nagaland,1942950.918,11396.99359,18147.89041,334.9272966,300,0.8065,8065
2021-01-04,Assam,29227109.02,779020.1763,474213.0711,14206.92745,400,16.129,161290
2021-01-04,Delhi,15900130.91,164123.7894,649724.2897,9225.960641,400,8.2661,82661
2021-01-04,Jharkhand,32396496.2,217538.1974,191571.1346,4637.753277,400,17.1371,171371
2021-01-04,Maharashtra,105832837.9,2208879.352,2870258.576,57578.22353,400,57.6613,576613
2021-01-04,Nagaland,1942950.918,11396.99359,18147.89041,334.9272966,400,0.8065,8065
2021-01-04,Assam,29227109.02,779020.1763,474213.0711,14206.92745,500,16.129,161290
2021-01-04,Delhi,15900130.91,164123.7894,649724.2897,9225.960641,500,8.2661,82661
2021-01-04,Jharkhand,32396496.2,217538.1974,191571.1346,4637.753277,500,17.1371,171371
2021-01-04,Maharashtra,105832837.9,2208879.352,2870258.576,57578.22353,500,57.6613,576613
2021-01-04,Nagaland,1942950.918,11396.99359,18147.89041,334.9272966,500,0.8065,8065
2021-01-05,Assam,28958827.51,898296.9262,516078.5083,16033.67069,200,16.129,161290
2021-01-05,Delhi,15881257.1,171393.8631,658110.9853,9403.449218,200,8.2661,82661
2021-01-05,Jharkhand,32332419.47,246201.0148,203150.0151,5093.942006,200,17.1371,171371
2021-01-05,Maharashtra,105387460.5,2409705.955,2985653.545,61162.98075,200,57.6613,576613
2021-01-05,Nagaland,1941306.324,12091.7203,18734.93991,349.4577932,200,0.8065,8065
2021-01-05,Assam,28958827.51,898296.9262,516078.5083,16033.67069,300,16.129,161290
2021-01-05,Delhi,15881257.1,171393.8631,658110.9853,9403.449218,300,8.2661,82661
